timestamp,tempo_resposta,status,taxa_erro,disponibilidade
2025-11-18 21:52:34.273197,0.55,500,5.37,96.22
2025-11-18 21:51:34.273224,1.66,200,3.78,92.86
2025-11-18 21:50:34.273231,2.54,500,9.22,98.31
2025-11-18 21:49:34.273236,2.49,200,1.63,95.63
2025-11-18 21:48:34.273240,0.85,500,4.23,91.96
2025-11-18 21:47:34.273244,1.34,200,0.82,97.99
2025-11-18 21:46:34.273247,1.34,200,5.15,96.91
2025-11-18 21:45:34.273250,1.92,500,5.13,97.08
2025-11-18 21:44:34.273253,2.13,500,4.51,92.03
2025-11-18 21:43:34.273256,0.87,200,9.73,99.97
2025-11-18 21:42:34.273259,2.59,200,8.76,94.77
2025-11-18 21:41:34.273262,1.15,200,7.08,97.94
2025-11-18 21:40:34.273265,1.59,200,7.87,99.78
2025-11-18 21:39:34.273268,2.58,500,1.87,90.93
2025-11-18 21:38:34.273271,2.14,200,5.55,99.85
2025-11-18 21:37:34.273273,1.22,200,2.35,99.11
2025-11-18 21:36:34.273276,1.09,500,0.13,99.07
2025-11-18 21:35:34.273278,1.78,200,8.34,99.77
2025-11-18 21:34:34.273282,2.39,200,7.93,96.54
2025-11-18 21:33:34.273285,0.31,200,6.66,97.7
2025-11-18 21:32:34.273289,0.64,500,4.44,97.71
2025-11-18 21:31:34.273292,1.72,200,4.33,91.94
2025-11-18 21:30:34.273295,0.89,200,4.64,96.41
2025-11-18 21:29:34.273298,0.36,200,0.76,99.8
2025-11-18 21:28:34.273300,2.63,200,8.2,98.25
2025-11-18 21:27:34.273303,0.8,200,7.73,90.55
2025-11-18 21:26:34.273306,2.57,200,0.66,93.02
2025-11-18 21:25:34.273309,1.74,200,4.17,95.58
2025-11-18 21:24:34.273313,2.63,200,8.13,91.96
2025-11-18 21:23:34.273317,2.86,200,7.42,90.28
2025-11-18 21:22:34.273322,1.27,500,7.14,94.9
2025-11-18 21:21:34.273328,2.23,500,4.6,98.47
2025-11-18 21:20:34.273333,2.09,500,8.15,99.47
2025-11-18 21:19:34.273339,2.95,200,1.97,97.15
2025-11-18 21:18:34.273344,1.73,500,7.85,93.96
2025-11-18 21:17:34.273349,1.28,200,9.37,92.41
2025-11-18 21:16:34.273354,1.25,500,0.5,98.16
2025-11-18 21:15:34.273359,0.77,200,5.01,98.72
2025-11-18 21:14:34.273362,2.43,200,9.4,91.49
2025-11-18 21:13:34.273364,1.64,500,7.24,90.6
2025-11-18 21:12:34.273367,0.18,200,8.52,91.03
2025-11-18 21:11:34.273369,0.72,200,1.83,94.66
2025-11-18 21:10:34.273372,2.22,200,4.76,94.83
2025-11-18 21:09:34.273374,0.97,200,9.18,94.48
2025-11-18 21:08:34.273377,1.53,200,5.93,98.96
2025-11-18 21:07:34.273380,0.61,200,5.97,93.21
2025-11-18 21:06:34.273383,0.35,200,0.73,99.8
2025-11-18 21:05:34.273386,1.54,200,0.92,96.43
2025-11-18 21:04:34.273389,2.69,500,8.03,91.23
2025-11-18 21:03:34.273392,2.02,200,6.73,93.99
2025-11-18 21:02:34.273395,1.94,200,1.96,91.53
2025-11-18 21:01:34.273398,1.02,200,0.12,96.25
2025-11-18 21:00:34.273401,2.8,200,4.04,99.55
2025-11-18 20:59:34.273404,0.83,200,8.31,94.07
2025-11-18 20:58:34.273409,2.2,500,1.16,92.33
2025-11-18 20:57:34.273414,0.14,500,1.36,99.5
2025-11-18 20:56:34.273420,2.59,200,2.07,97.32
2025-11-18 20:55:34.273427,1.69,200,9.17,97.25
2025-11-18 20:54:34.273433,1.36,200,1.29,93.99
2025-11-18 20:53:34.273439,1.39,500,6.29,98.03
2025-11-18 20:52:34.273443,0.58,500,2.43,100.0
2025-11-18 20:51:34.273446,0.4,200,1.16,91.25
2025-11-18 20:50:34.273449,0.74,500,3.06,91.27
2025-11-18 20:49:34.273451,1.13,200,7.15,91.01
2025-11-18 20:48:34.273454,1.49,500,2.79,99.14
2025-11-18 20:47:34.273457,0.44,200,8.81,98.82
2025-11-18 20:46:34.273459,0.89,500,3.91,93.69
2025-11-18 20:45:34.273462,2.27,200,7.72,97.95
2025-11-18 20:44:34.273465,2.51,200,0.36,90.86
2025-11-18 20:43:34.273468,0.35,500,5.53,96.94
2025-11-18 20:42:34.273471,0.86,200,3.96,92.56
2025-11-18 20:41:34.273474,1.3,200,5.52,92.06
2025-11-18 20:40:34.273477,1.46,200,9.68,95.34
2025-11-18 20:39:34.273480,1.51,200,2.84,98.58
2025-11-18 20:38:34.273483,0.24,500,8.38,95.03
2025-11-18 20:37:34.273486,2.1,200,8.7,94.86
2025-11-18 20:36:34.273489,2.87,500,2.28,97.47
2025-11-18 20:35:34.273493,2.92,200,0.62,97.4
2025-11-18 20:34:34.273496,2.01,200,5.12,99.9
2025-11-18 20:33:34.273500,1.39,200,1.84,99.02
2025-11-18 20:32:34.273504,1.55,500,9.09,94.7
2025-11-18 20:31:34.273510,2.09,200,0.22,96.39
2025-11-18 20:30:34.273515,0.25,500,6.12,93.8
2025-11-18 20:29:34.273521,1.96,500,6.52,99.48
2025-11-18 20:28:34.273525,2.24,200,7.57,90.68
2025-11-18 20:27:34.273528,1.78,200,6.21,93.48
2025-11-18 20:26:34.273531,0.41,200,0.71,99.76
2025-11-18 20:25:34.273533,0.8,500,9.67,97.02
2025-11-18 20:24:34.273536,2.9,200,2.72,90.03
2025-11-18 20:23:34.273539,1.14,200,5.53,94.95
2025-11-18 20:22:34.273541,0.22,200,3.79,99.28
2025-11-18 20:21:34.273544,2.11,200,5.46,90.99
2025-11-18 20:20:34.273546,1.95,200,6.81,90.42
2025-11-18 20:19:34.273549,0.55,200,4.99,91.75
2025-11-18 20:18:34.273552,1.91,200,7.5,95.64
2025-11-18 20:17:34.273554,2.87,500,0.83,95.96
2025-11-18 20:16:34.273557,1.19,500,4.8,91.52
2025-11-18 20:15:34.273560,2.07,200,7.26,98.23
2025-11-18 20:14:34.273563,0.88,200,6.43,93.94
2025-11-18 20:13:34.273565,2.77,500,0.06,93.75
2025-11-18 20:12:34.273568,0.79,500,3.03,99.01
2025-11-18 20:11:34.273571,0.92,200,0.06,91.33
2025-11-18 20:10:34.273573,2.17,200,5.99,96.31
2025-11-18 20:09:34.273576,1.48,200,3.06,92.37
2025-11-18 20:08:34.273578,0.82,500,2.64,91.57
2025-11-18 20:07:34.273581,1.59,200,7.63,92.08
2025-11-18 20:06:34.273584,1.4,200,9.62,93.75
2025-11-18 20:05:34.273586,1.93,200,7.45,98.64
2025-11-18 20:04:34.273589,0.84,200,6.14,91.36
2025-11-18 20:03:34.273592,0.47,200,9.29,90.16
